,syl,son,cons,cont,delrel,lat,nas,strid,voi,sg,cg,ant,cor,distr,lab,hi,lo,back,round,velaric,tense,long,hitone,hireg,backshift,frontshift,opening,centering,closing,longdistance,secondrounded,rising,falling,contour
ʕ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,-,+,+,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
³⁵⁵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,-
dz,-,-,+,-,+,-,-,0,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ʘ,-,-,+,-,-,-,-,0,-,-,-,0,-,0,+,+,-,0,-,+,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ʙ,-,+,+,+,0,-,-,0,+,-,-,+,-,0,+,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
²³¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,+,-,+
ʛ,-,-,+,-,-,-,-,0,+,-,+,-,-,0,-,-,-,+,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
⁵⁴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,-,+,-
d͡z,-,-,+,-,+,-,-,0,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ʝ,-,-,+,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
t͡ɬ,-,-,+,-,+,+,-,0,-,-,-,+,+,-,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
t̪͡s̪,-,-,+,-,+,-,-,0,-,-,-,+,+,+,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ʟ,-,+,+,+,0,+,-,0,+,-,-,-,-,0,-,+,-,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
bˁ,-,-,+,-,-,-,-,0,+,-,-,+,-,0,+,-,+,+,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ʣ,-,-,+,-,+,-,-,0,+,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ʤ,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
t͡s,-,-,+,-,+,-,-,0,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
⁵⁵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,0,-,-,-
ʥ,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,+,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ʦ,-,-,+,-,+,-,-,0,-,-,-,+,+,-,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ʧ,-,-,+,-,+,-,-,0,-,-,-,-,+,+,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ʨ,-,-,+,-,+,-,-,0,-,-,-,-,+,+,-,+,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
dʑ,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,+,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
dʒ,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
ʰ,-,+,+,+,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,-,-,-
ʲ,-,+,-,+,-,-,-,0,+,-,-,-,-,0,-,+,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
d͡ʐ,-,-,+,-,+,-,-,0,+,-,-,-,+,-,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
d͡ʒ,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
t͡ʃ,-,-,+,-,+,-,-,0,-,-,-,-,+,+,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
³⁴³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,+
²⁴⁴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,+,-,-
d͡ʑ,-,-,+,-,+,-,-,0,+,-,-,-,+,+,-,+,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
q͡χ,-,-,+,-,+,-,-,0,-,-,-,-,-,0,-,-,-,+,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
t͡ʂ,-,-,+,-,+,-,-,0,-,-,-,-,+,-,-,0,0,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
³⁴²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,+
¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,-,-,-
¹²²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,+,-,-
⁴³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,0,0,0,-,+,-
ẽ,+,+,-,+,-,-,+,0,+,-,-,0,-,0,-,-,-,-,-,-,+,-,0,0,0,0,0,0,0,0,0,0,0,0
⁴²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,0,0,0,-,+,-
³⁴¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,+
ˀ,-,+,-,-,-,-,-,0,-,-,+,-,-,0,-,-,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
¹²¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,+,-,+
cç,-,-,+,-,+,-,-,0,-,-,-,-,+,+,-,+,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
⁴¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,0,0,0,0,0,0,0,-,+,-
³¹⁴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,+
³¹⁵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,+,+
³⁵¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,+
²⁵⁵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,+,-,-
³⁵²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,+
³⁵³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,+
²⁵⁴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,-,0,0,0,0,0,0,0,+,-,+
¹³²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,+,-,+
¹⁴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,+,-,-
k͡p,-,-,+,-,-,-,-,0,-,-,-,0,-,0,+,+,-,0,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0
¹³³,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,+,-,-
¹⁵,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,+,-,-
¹³¹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,+,-,+
